,symbol,exchange,type,organ_short_name,organ_name,product_grp_id
1186,HNI,UPCOM,STOCK,May Hữu Nghị,Công ty Cổ phần May Hữu Nghị,UPX
1187,HNG,UPCOM,STOCK,Nông nghiệp Quốc tế HAGL,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,UPX
1188,HNF,UPCOM,STOCK,Bánh kẹo Hữu Nghị,Công ty Cổ phần Thực phẩm Hữu Nghị,UPX
1189,HNE,DELISTED,STOCK,,,
1190,HND,UPCOM,STOCK,Nhiệt điện Hải Phòng,Công ty Cổ phần Nhiệt điện Hải Phòng,UPX
1191,HNB,UPCOM,STOCK,Bến xe Hà Nội,Công ty Cổ phần Bến xe Hà Nội,UPX
1192,HNA,HSX,STOCK,Thủy điện Hủa Na,Công ty Cổ phần Thủy điện Hủa Na,STO
1193,HMS,UPCOM,STOCK,XD Bảo tàng Hồ Chí Minh,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,UPX
1194,HMR,HNX,STOCK,Đá Hoàng Mai,Công ty cổ phần Đá Hoàng Mai,STX
1195,HMH,HNX,STOCK,Tập đoàn Hải Minh,Công ty Cổ phần Hải Minh,STX
1196,HMG,UPCOM,STOCK,Kim Khí Hà Nội,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,UPX
1197,HMD,UPCOM,STOCK,Hóa chất Minh Đức,Công ty Cổ phần Hóa chất Minh Đức,UPX
1198,HMC,HSX,STOCK,Kim khí TP.HCM,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,STO
1199,HLY,UPCOM,STOCK,Gốm Xây Dựng Yên Hưng,Công ty Cổ phần Gốm xây dựng Yên Hưng,UPX
1200,HLT,UPCOM,STOCK,Dệt may Hoàng Thị Loan,Công ty Cổ phần Dệt may Hoàng Thị Loan,UPX
1201,HLS,UPCOM,STOCK,Sứ Hoàng Liên Sơn,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,UPX
1202,HLR,DELISTED,STOCK,Đường sắt Hà Lạng,Công ty Cổ phần Đường sắt Hà Lạng,
1203,HLO,UPCOM,STOCK,Công Nghệ Ha Lô,Công Ty Cổ Phần Công Nghệ Ha Lô,UPX
1204,HLG,DELISTED,STOCK,Tập đoàn Hoàng Long,Công ty Cổ phần Tập đoàn Hoàng Long,
1205,HLE,DELISTED,STOCK,Điện chiếu sáng Hải Phòng,Công ty Cổ phần Điện chiếu sáng Hải Phòng,
1206,HLD,HNX,STOCK,Bất động sản HUDLAND,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,STX
1207,HLC,HNX,STOCK,Than Hà Lầm,Công ty Cổ phần Than Hà Lầm - Vinacomin,STX
1208,HLB,UPCOM,STOCK,Bia và NGK Hạ Long,Công ty Cổ phần Bia và Nước giải khát Hạ Long,UPX
1209,HLA,UPCOM,STOCK,Hữu Liên Á Châu,Công ty Cổ phần Hữu Liên Á Châu,UPX
1210,HKT,HNX,STOCK,Đầu tư QP Xanh,Công ty Cổ phần Đầu tư QP Xanh,STX
1211,HKP,DELISTED,STOCK,Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,
1212,HKB,UPCOM,STOCK,Thực phẩm Hà Nội - Kinh Bắc,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,UPX
1213,HJS,HNX,STOCK,Thủy điện Nậm Mu,Công ty Cổ phần Thủy điện Nậm Mu,STX
1214,HJC,UPCOM,STOCK,Công ty Cổ phần Hoà Việt,Công ty Cổ phần Hoà Việt,UPX
1215,HIO,UPCOM,STOCK,Helio Energy,Công ty Cổ Phần Helio Energy,UPX
1216,HII,HSX,STOCK,An Tiến Industries,Công ty Cổ phần An Tiến Industries,STO
1217,HIG,UPCOM,STOCK,Tập đoàn HIPT,Công ty Cổ phần Tập đoàn HIPT,UPX
1218,HID,HSX,STOCK,Halcom Vietnam,Công ty Cổ phần Halcom Vietnam,STO
1219,HHV,HSX,STOCK,Đầu tư Hạ tầng Giao thông Đèo Cả,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,STO
1220,HHS,HSX,STOCK,Đầu tư DV Hoàng Huy,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,STO
1221,HHR,DELISTED,STOCK,Đường sắt Hà Hải,Công ty Cổ phần Đường sắt Hà Hải,
1222,HHP,HSX,STOCK,HHP Global,Công ty Cổ phần HHP Global,STO
1223,HHN,UPCOM,STOCK,Vận tải và DV Hàng hóa Hà Nội,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,UPX
1224,HHG,UPCOM,STOCK,Vận tải Hoàng Hà,Công ty Cổ phần Hoàng Hà,UPX
1225,HHC,HNX,STOCK,Bánh kẹo Hải Hà,Công ty Cổ phần Bánh kẹo Hải Hà,STX
1226,HGW,DELISTED,STOCK,Công trình đô thị Hậu Giang,Công ty Cổ phần Cấp thoát nước - Công trình Đô thị Hậu Giang,
1227,HGT,UPCOM,STOCK,Du lịch Hương Giang,Công ty Cổ phần Du lịch Hương Giang,UPX
1228,HGR,DELISTED,STOCK,,,
1229,HGM,HNX,STOCK,Khoáng sản Hà Giang,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,STX
1230,HGC,DELISTED,STOCK,,,
1231,HGA,DELISTED,STOCK,,,
1232,HFX,UPCOM,STOCK,XNK Thanh Hà,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,UPX
1233,HFC,UPCOM,STOCK,Xăng dầu HFC,Công ty Cổ phần Xăng dầu HFC,UPX
1234,HFB,UPCOM,STOCK,Công trình Cầu phà TP HCM,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,UPX
1235,HEV,HNX,STOCK,Sách Đại học - Dạy nghề,Công ty Cổ phần Sách Đại học - Dạy nghề,STX
1236,HES,UPCOM,STOCK,Dịch vụ Giải trí Hà Nội,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,UPX
1237,HEP,UPCOM,STOCK,Môi trường và Công trình đô thị Huế,Công ty Cổ phần Môi trường và Công trình đô thị Huế,UPX
1238,HEM,DELISTED,STOCK,Chế tạo điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,
1239,HEJ,UPCOM,STOCK,Tư vấn Xây dựng Thủy Lợi VN,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,UPX
1240,HEC,UPCOM,STOCK,Tư vấn XD Thủy Lợi II (HEC II),Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,UPX
1241,HDW,UPCOM,STOCK,Nước sạch Hải Dương,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,UPX
1242,HDS,DELISTED,STOCK,Giống cây trồng Hải Dương,Công ty Cổ phần Giống cây trồng Hải Dương,UPX
1243,HDP,UPCOM,STOCK,Dược Hà Tĩnh,Công ty Cổ phần Dược Hà Tĩnh,UPX
1244,HDO,UPCOM,STOCK,Hưng Đạo Container,Công ty Cổ phần Hưng Đạo Container,UPX
1245,HDM,UPCOM,STOCK,Dệt May Huế,Công ty Cổ phần Dệt May Huế,UPX
1247,HDG,HSX,STOCK,Tập đoàn Hà Đô,Công ty Cổ phần Tập đoàn Hà Đô,STO
